Field,Total_cnt,Diff_cnt,Diff_pct,Up_cnt,Up_pct,Down_cnt,Down_pct,Matched,Mean_Base,Mean_Test,Standard_dev_Base,Standard_dev_Test,Change_standard_dev,Char_str_count_Base,Char_str_count_Test,Blank_Base,Blank_Test
lastnamechangeage,25000,467,1.868,286,1.144,27,0.108,24533,187.33908,186.017,116.0494931072034,116.59228204393145,-0.5427889367280443,0,0,154,154
lastnamechangecount01,25000,239,0.956,1,0.004,84,0.336,24761,0.00128,0.0046,0.03575404183384572,0.06833631763164849,-0.03258227579780277,0,0,154,154
lastnamechangecount03,25000,258,1.032,3,0.012,101,0.404,24742,0.00504,0.00896,0.07137535937662705,0.09557681897899048,-0.02420145960236343,0,0,154,154
lastnamechangecount06,25000,280,1.12,5,0.02,121,0.484,24720,0.01092,0.01556,0.10695802467406967,0.12766628937264263,-0.020708264698572953,0,0,154,154
lastnamechangecount12,25000,305,1.22,7,0.028,144,0.576,24695,0.01988,0.0254,0.14765619214677786,0.16680190610207643,-0.01914571395529857,0,0,154,154
lastnamechangecount24,25000,333,1.332,7,0.028,172,0.688,24667,0.0484,0.05504,0.25290909400491934,0.2676569779220949,-0.014747883917175575,0,0,154,154
lastnamechangecount60,25000,387,1.548,12,0.048,221,0.884,24613,0.1656,0.17404,0.4937283788708413,0.5078310586232764,-0.014102679752435066,0,0,154,154
sfduaddridentitiescount,25000,154,0.616,0,0.0,0,0.0,24846,20.6898,20.6898,21.460105269170366,21.460105269170366,0.0,0,0,154,154
sfduaddrssncount,25000,154,0.616,0,0.0,0,0.0,24846,16.21868,16.21868,16.637565274972218,16.637565274972218,0.0,0,0,154,154
ssnagedeceased,25000,157,0.628,0,0.0,3,0.012,24843,-0.90852,-0.9084,1.531961779119845,1.532072105837072,-0.00011032671722710496,0,0,154,154
ssnrecent,25000,156,0.624,1,0.004,1,0.004,24844,-0.01488,-0.01488,0.12106701320880676,0.1210670132088068,-4.163336342344337e-17,0,0,154,154
ssnlowissueage,25000,9339,37.356,1,0.004,9184,36.736,15661,419.23716,419.59764,163.37469035861554,163.430804155461,-0.05611379684546591,0,0,154,154
ssnhighissueage,25000,8262,33.048,1,0.004,8107,32.428,16738,396.93068,397.24856,161.227745292269,161.30346196815827,-0.07571667588928221,0,0,154,154
ssnissuestate,25000,23231,92.924,0,0.0,0,0.0,1769,-0.0708,-0.0708,0.2472440391839585,0.2472440391839585,0.0,0,0,23230,23230
ssnnonus,25000,156,0.624,1,0.004,1,0.004,24844,-0.0138,-0.0138,0.12557223773426643,0.12557223773426643,0.0,0,0,154,154
ssn3years,25000,156,0.624,1,0.004,1,0.004,24844,-0.01488,-0.01488,0.12106701320880676,0.1210670132088068,-4.163336342344337e-17,0,0,154,154
ssnafter5,25000,156,0.624,1,0.004,1,0.004,24844,-0.00692,-0.00692,0.1509695950176237,0.15096959501762366,2.7755575615628914e-17,0,0,154,154
ssnproblems,25000,158,0.632,1,0.004,3,0.012,24842,0.13076,0.13116,0.6505662899549608,0.6520213873990313,-0.0014550974440704634,0,0,154,154
relativescount,25000,167,0.668,4,0.016,9,0.036,24833,14.53336,14.53596,10.55898199755152,10.562170579602338,-0.0031885820508179563,0,0,154,154
relativesbankruptcycount,25000,168,0.672,1,0.004,13,0.052,24832,2.30168,2.30304,2.7343216993864017,2.736584474511127,-0.0022627751247252803,0,0,154,154
relativesfelonycount,25000,177,0.708,6,0.024,17,0.068,24823,0.69756,0.69832,1.4334199148493023,1.434598327437539,-0.0011784125882365881,0,0,154,154
relativespropownedcount,25000,697,2.788,260,1.04,283,1.132,24303,5.43544,5.43576,5.3301933283099165,5.332583073479449,-0.0023897451695322758,0,0,154,154
relativespropownedtaxtotal,25000,1856,7.424,371,1.484,1331,5.324,23144,1653768.64696,1655902.06884,18673746.17679587,18673946.20644688,-200.02965100854635,0,0,154,154
relativesdistanceclosest,25000,161,0.644,4,0.016,3,0.012,24839,0.0646,0.06444,0.5196163328211402,0.5193282250508722,0.00028810777026799794,0,0,154,154
inputaddrageoldestrecord,25000,280,1.12,74,0.296,52,0.208,24720,112.5878,112.51684,104.96862070577573,104.94620047171318,0.022420234062551003,0,0,154,154
inputaddragenewestrecord,25000,226,0.904,50,0.2,22,0.088,24774,8.85352,8.83772,21.87217257477486,21.87191039604758,0.0002621787272829579,0,0,154,154
inputaddrhistoricalmatch,25000,367,1.468,146,0.584,67,0.268,24633,1.00688,1.00396,0.9518128032444948,0.949667200455058,0.0021456027894367624,0,0,154,154
inputaddrlenofres,25000,325,1.3,84,0.336,87,0.348,24675,103.60612,103.55144,105.43711516083806,105.40795975031025,0.02915541052780668,0,0,154,154
inputaddrdwelltype,25000,24472,97.888,0,0.0,0,0.0,528,-0.02112,-0.02112,0.1422579061737104,0.1422579061737104,0.0,0,0,24472,24472
inputaddrdelivery,25000,154,0.616,0,0.0,0,0.0,24846,-0.91464,-0.91464,0.6109995268490286,0.6109995268490286,0.0,0,0,154,154
inputaddrapplicantowned,25000,161,0.644,0,0.0,7,0.028,24839,0.04272,0.043,0.6725501911454644,0.6726216145871323,-7.142344166788384e-05,0,0,154,154
inputaddrfamilyowned,25000,158,0.632,2,0.008,2,0.008,24842,-0.00116,-0.00116,0.6405299728436047,0.6404050640891507,0.00012490875445403393,0,0,154,154
inputaddroccupantowned,25000,164,0.656,2,0.008,8,0.032,24836,0.01296,0.01328,0.6513301802898479,0.6514466281717988,-0.0001164478819508652,0,0,154,154
inputaddragelastsale,25000,329,1.316,170,0.68,5,0.02,24671,74.27044,73.8972,96.40020817892152,96.42749843789677,-0.027290258975256165,0,0,154,154
inputaddrlastsalesprice,25000,237,0.948,48,0.192,35,0.14,24763,462958.21236,462805.05076,8085373.897262459,8085369.999288118,3.8979743402451277,0,0,154,154
inputaddrmortgagetype,25000,191,0.764,11,0.044,26,0.104,24809,-0.42592,-0.42404,1.3480187985578354,1.3501096771986012,-0.0020908786407658475,0,0,154,154
inputaddrnotprimaryres,25000,466,1.864,93,0.372,219,0.876,24534,0.612,0.61892,0.5534155843126112,0.5487428623317727,0.004672721980838457,0,0,154,154
inputaddractivephonelist,25000,158,0.632,2,0.008,2,0.008,24842,0.08556,0.08556,0.2796326018836716,0.2796326018836716,0.0,0,0,154,154
inputaddrtaxvalue,25000,531,2.124,58,0.232,319,1.276,24469,932812.78228,934650.74708,10018701.765880097,10032318.172526274,-13616.406646177173,0,0,154,154
inputaddrtaxyr,25000,661,2.644,0,0.0,507,2.028,24339,1562.02504,1562.12872,835.8340714660142,835.7931094183322,0.04096204768200096,0,0,154,154
inputaddrtaxmarketvalue,25000,551,2.204,46,0.184,351,1.404,24449,913150.4798,914290.26616,10280659.44662394,10289700.416515198,-9040.969891257584,0,0,154,154
inputaddravmvalue,25000,154,0.616,0,0.0,0,0.0,24846,198525.36356,198525.36356,520404.80276892113,520404.80276892113,0.0,0,0,154,154
inputaddravmvalue12,25000,154,0.616,0,0.0,0,0.0,24846,186445.61324,186445.61324,486648.7311127087,486648.7311127087,0.0,0,0,154,154
inputaddravmvalue60,25000,154,0.616,0,0.0,0,0.0,24846,118123.45992,118123.45992,241674.06233938853,241674.06233938853,0.0,0,0,154,154
inputaddrcountyindex,25000,154,0.616,0,0.0,0,0.0,24846,0.6766240000000006,0.6766240000000006,1.06326328968599,1.06326328968599,0.0,0,0,154,154
inputaddrtractindex,25000,154,0.616,0,0.0,0,0.0,24846,0.6716080000000003,0.6716080000000003,1.2211392898981284,1.2211392898981284,0.0,0,0,154,154
inputaddrblockindex,25000,154,0.616,0,0.0,0,0.0,24846,0.677490399999998,0.677490399999998,1.1462713324238076,1.1462713324238076,0.0,0,0,154,154
inputaddrmedianincome,25000,154,0.616,0,0.0,0,0.0,24846,61577.01692,61577.01692,29907.240097051945,29907.240097051945,0.0,0,0,154,154
inputaddrmedianvalue,25000,154,0.616,0,0.0,0,0.0,24846,236009.26632,236009.26632,187242.65191978237,187242.65191978237,0.0,0,0,154,154
inputaddrmurderindex,25000,154,0.616,0,0.0,0,0.0,24846,94.14784,94.14784,58.381663543874794,58.381663543874794,0.0,0,0,154,154
inputaddrcartheftindex,25000,154,0.616,0,0.0,0,0.0,24846,97.38656,97.38656,58.51795157234742,58.51795157234742,0.0,0,0,154,154
inputaddrburglaryindex,25000,154,0.616,0,0.0,0,0.0,24846,97.0098,97.0098,56.60628085271421,56.60628085271421,0.0,0,0,154,154
inputaddrcrimeindex,25000,154,0.616,0,0.0,0,0.0,24846,93.50172,93.50172,57.187576235760744,57.187576235760744,0.0,0,0,154,154
inputaddrmobilityindex,25000,154,0.616,0,0.0,0,0.0,24846,0.29677999999998533,0.29677999999998533,0.17081530625404104,0.17081530625404104,0.0,0,0,154,154
inputaddrvacantpropcount,25000,154,0.616,0,0.0,0,0.0,24846,40.68816,40.68816,65.69347238052963,65.69347238052963,0.0,0,0,154,154
inputaddrbusinesscount,25000,154,0.616,0,0.0,0,0.0,24846,55.4408,55.4408,68.6354238885684,68.6354238885684,0.0,0,0,154,154
inputaddrsinglefamilycount,25000,154,0.616,0,0.0,0,0.0,24846,227.70032,227.70032,65.65846166193126,65.65846166193126,0.0,0,0,154,154
inputaddrmultifamilycount,25000,154,0.616,0,0.0,0,0.0,24846,113.46436,113.46436,107.1121075233394,107.1121075233394,0.0,0,0,154,154
curraddrageoldestrecord,25000,876,3.504,453,1.812,269,1.076,24124,89.23484,88.83924,103.06613688835175,103.27354771913524,-0.20741083078348765,0,0,154,154
curraddragenewestrecord,25000,277,1.108,41,0.164,82,0.328,24723,1.62732,1.61448,11.085390245182275,11.003393406835102,0.0819968383471732,0,0,154,154
curraddrlenofres,25000,864,3.456,442,1.768,268,1.072,24136,87.60568,87.23356,102.74827580013682,102.94830096307632,-0.20002516293949668,0,0,154,154
curraddrdwelltype,25000,24053,96.212,0,0.0,0,0.0,947,-0.041,-0.0398,0.19418270005332522,0.19131989912186267,0.0028628009314625447,0,0,23975,24005
curraddrapplicantowned,25000,370,1.48,83,0.332,133,0.532,24630,0.19532,0.1974,0.4775511430215766,0.4751026867964617,0.002448456225114859,0,0,154,154
curraddrfamilyowned,25000,405,1.62,111,0.444,140,0.56,24595,0.1244,0.12568,0.4242043278685276,0.4210829464397599,0.0031213814287676667,0,0,154,154
curraddroccupantowned,25000,494,1.976,137,0.548,203,0.812,24506,0.1648,0.16756,0.4567205494758365,0.45480101617466917,0.0019195333011673421,0,0,154,154
curraddragelastsale,25000,843,3.372,386,1.544,303,1.212,24157,59.76064,59.60584,90.31699291260215,90.33644127880548,-0.0194483662033349,0,0,154,154
curraddrlastsalesprice,25000,690,2.76,232,0.928,304,1.216,24310,236715.0574,236357.58768,4464180.711348063,4460841.650380872,3339.0609671911225,0,0,154,154
curraddrmortgagetype,25000,263,1.052,53,0.212,56,0.224,24737,-0.43668,-0.43596,1.3437618579044461,1.3446206714009756,-0.000858813496529498,0,0,154,154
curraddractivephonelist,25000,297,1.188,50,0.2,93,0.372,24703,0.03296,0.03464,0.32091579333610015,0.3177360552605605,0.003179738075539673,0,0,154,154
curraddrtaxvalue,25000,1072,4.288,295,1.18,623,2.492,23928,368189.46172,368492.33344,3615077.898474313,3601802.366624421,13275.531849891879,0,0,154,154
curraddrtaxyr,25000,973,3.892,169,0.676,650,2.6,24027,1354.61932,1358.11192,942.7325986671824,941.4708156048786,1.2617830623038344,0,0,154,154
curraddrtaxmarketvalue,25000,999,3.996,243,0.972,602,2.408,24001,393169.5048,390680.9146,3863845.2670133254,3712373.7131502028,151471.5538631226,0,0,154,154
curraddravmvalue,25000,675,2.7,235,0.94,286,1.144,24325,175716.95312,176119.93976,455936.1076079512,454778.24211052136,1157.8654974298552,0,0,154,154
curraddravmvalue12,25000,663,2.652,237,0.948,272,1.088,24337,163151.2016,163630.94384,410490.11797752033,411221.8959060147,-731.7779284943826,0,0,154,154
curraddravmvalue60,25000,627,2.508,210,0.84,263,1.052,24373,104006.88208,104396.34484,233180.13743428487,233891.13166028357,-710.9942259987001,0,0,154,154
curraddrcountyindex,25000,672,2.688,239,0.956,279,1.116,24328,0.5740371999999991,0.5761351999999991,1.0881895118871543,1.0840568572219806,0.004132654665173652,0,0,154,154
curraddrtractindex,25000,673,2.692,243,0.972,276,1.104,24327,0.5637012000000015,0.5656188000000013,1.2279391700791173,1.2248999055320169,0.003039264547100462,0,0,154,154
curraddrblockindex,25000,675,2.7,240,0.96,281,1.124,24325,0.5682791999999978,0.5700319999999979,1.1529666919528243,1.148290071884764,0.004676620068060355,0,0,154,154
curraddrmedianincome,25000,815,3.26,296,1.184,365,1.46,24185,59122.03192,59258.2686,31605.441280052473,31505.52943655215,99.911843500322,0,0,154,154
curraddrmedianvalue,25000,811,3.244,315,1.26,342,1.368,24189,226938.30248,227399.0948,188166.58688450127,188538.14307924538,-371.55619474410196,0,0,154,154
curraddrmurderindex,25000,805,3.22,320,1.28,331,1.324,24195,90.7798,90.86824,60.31400470784104,60.17612876277003,0.1378759450710163,0,0,154,154
